Player_Name_batting,matches_played_batting,runs_scored,balls_faced,strike_rate_batting,average,Player_Name_batting_2,Batting_Hand,Country_batting,bowler,matches_played_bowling,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate_bowling,Player_Name_bowling,Bowling_Skill,Country_bowling
Mohammad Nabi,19.0,221.0,157.0,140.76433121019107,1.4076433121019107,Mohammad Nabi,Right_hand,,Mohammad Nabi,23.0,527.0,69.83333333333333,15.0,7.5465393794749405,27.933333333333334,Mohammad Nabi,Right-arm offbreak,
Mohammed Shami,23.0,74.0,82.0,90.2439024390244,0.902439024390244,Mohammed Shami,Right_Hand,India,Mohammed Shami,110.0,3486.0,420.1666666666667,144.0,8.296707655692185,17.506944444444443,Mohammed Shami,Right-arm fast-medium,India
Mohammed Siraj,20.0,109.0,122.0,89.34426229508196,0.8934426229508197,Mohammed Siraj,Right_hand,,Mohammed Siraj,93.0,2894.0,346.8333333333333,96.0,8.34406535319558,21.67708333333333,Mohammed Siraj,Right-arm fast,
Mustafizur Rahman,6.0,13.0,23.0,56.52173913043478,0.5652173913043478,Mustafizur Rahman,Left_Hand,Bangladesh,Mustafizur Rahman,57.0,1792.0,225.5,70.0,7.946784922394679,19.32857142857143,Mustafizur Rahman,Left-arm fast-medium,Bangladesh
N Rana,101.0,2636.0,2015.0,130.81885856079404,1.3081885856079405,N Rana,Left_Hand,India,N Rana,24.0,253.0,30.83333333333333,10.0,8.205405405405406,18.5,N Rana,Right-arm offbreak,India
ND Doshi,1.0,0.0,13.0,0.0,0.0,ND Doshi,Right_Hand,India,ND Doshi,4.0,79.0,9.5,2.0,8.31578947368421,28.5,ND Doshi,Slow left-arm orthodox,India
NJ Rimmington,1.0,1.0,1.0,100.0,1.0,NJ Rimmington,Right_Hand,Australia,NJ Rimmington,1.0,20.0,3.0,0.0,6.666666666666667,,NJ Rimmington,Right-arm fast-medium,Australia
NL McCullum,2.0,26.0,23.0,113.04347826086956,1.1304347826086956,NL McCullum,Right_Hand,New Zealand,NL McCullum,2.0,35.0,5.0,0.0,7.0,,NL McCullum,Right-arm offbreak,New Zealand
NLTC Perera,30.0,424.0,326.0,130.06134969325154,1.3006134969325154,NLTC Perera,Left_Hand,Sri Lanka,NLTC Perera,36.0,1031.0,119.16666666666669,37.0,8.651748251748252,19.324324324324323,NLTC Perera,Right-arm medium-fast,Sri Lanka
NM Coulter-Nile,16.0,82.0,75.0,109.33333333333331,1.0933333333333333,NM Coulter-Nile,Right_Hand,Australia,NM Coulter-Nile,38.0,1125.0,148.66666666666666,52.0,7.567264573991032,17.153846153846153,NM Coulter-Nile,Right-arm fast,Australia
P Awana,5.0,5.0,14.0,35.714285714285715,0.3571428571428571,P Awana,Right_Hand,India,P Awana,33.0,1046.0,129.0,43.0,8.108527131782946,18.0,P Awana,Right-arm medium,India
P Kumar,57.0,340.0,323.0,105.26315789473684,1.0526315789473684,P Kumar,Right_Hand,India,P Kumar,119.0,3342.0,439.5,102.0,7.604095563139932,25.852941176470587,P Kumar,Right-arm medium,India
P Negi,35.0,365.0,301.0,121.2624584717608,1.212624584717608,P Negi,Left_Hand,India,P Negi,42.0,954.0,122.16666666666669,38.0,7.80900409276944,19.289473684210527,P Negi,Slow left-arm orthodox,India
P Parameswaran,2.0,1.0,3.0,33.33333333333333,0.3333333333333333,P Parameswaran,Right_Hand,India,P Parameswaran,8.0,226.0,26.5,9.0,8.528301886792454,17.666666666666668,P Parameswaran,Left-arm medium,India
P Sahu,2.0,19.0,13.0,146.15384615384613,1.4615384615384617,P Sahu,Right_Hand,India,P Sahu,5.0,152.0,17.833333333333332,3.0,8.52336448598131,35.666666666666664,P Sahu,Legbreak googly,India
PC Valthaty,23.0,505.0,432.0,116.89814814814814,1.1689814814814814,PC Valthaty,Right_Hand,India,PC Valthaty,10.0,207.0,25.5,7.0,8.117647058823529,21.857142857142858,PC Valthaty,Right-arm medium,India
PD Collingwood,7.0,203.0,159.0,127.67295597484276,1.2767295597484276,PD Collingwood,Right_Hand,England,PD Collingwood,6.0,101.0,15.0,5.0,6.733333333333333,18.0,PD Collingwood,Right-arm medium,England
PJ Cummins,39.0,515.0,359.0,143.4540389972145,1.434540389972145,PJ Cummins,Right_Hand,Australia,PJ Cummins,58.0,1976.0,228.33333333333331,66.0,8.654014598540146,20.75757575757576,PJ Cummins,Right-arm fast,Australia
PJ Sangwan,14.0,26.0,47.0,55.319148936170215,0.5531914893617021,PJ Sangwan,Right_Hand,India,PJ Sangwan,42.0,1267.0,150.83333333333334,44.0,8.4,20.568181818181817,PJ Sangwan,Left-arm medium,India
PM Sarvesh Kumar,1.0,1.0,2.0,50.0,0.5,PM Sarvesh Kumar,Right_Hand,India,PM Sarvesh Kumar,2.0,42.0,5.166666666666667,1.0,8.129032258064516,31.0,PM Sarvesh Kumar,Right-arm medium,India
PP Chawla,86.0,624.0,580.0,107.58620689655172,1.0758620689655172,PP Chawla,Left_Hand,India,PP Chawla,191.0,5179.0,649.1666666666666,201.0,7.977920410783056,19.37810945273632,PP Chawla,Legbreak,India
PP Ojha,19.0,16.0,45.0,35.55555555555556,0.3555555555555555,PP Ojha,Left_Hand,India,PP Ojha,90.0,2399.0,324.1666666666667,99.0,7.40051413881748,19.646464646464647,PP Ojha,Slow left-arm orthodox,India
PV Tambe,6.0,18.0,39.0,46.15384615384615,0.4615384615384615,PV Tambe,Right_Hand,India,PV Tambe,33.0,866.0,112.33333333333331,28.0,7.70919881305638,24.071428571428573,PV Tambe,Legbreak,India
Pankaj Singh,5.0,7.0,12.0,58.333333333333336,0.5833333333333334,Pankaj Singh,Right_Hand,India,Pankaj Singh,17.0,472.0,51.833333333333336,11.0,9.106109324758842,28.272727272727277,Pankaj Singh,Right-arm medium-fast,India
