bowler,season,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
Tilak Varma,2023,1.0,7.0,7.0,0.0,0.0,6.0,0.0
Tilak Varma,2024,1.0,4.0,8.0,0.0,0.0,12.0,0.0
UT Yadav,2010,7.0,152.0,192.0,8.0,24.0,7.578947368421053,19.0
UT Yadav,2011,6.0,113.0,172.0,3.0,57.333333333333336,9.132743362831858,37.666666666666664
UT Yadav,2012,17.0,383.0,459.0,22.0,20.863636363636363,7.190600522193211,17.40909090909091
UT Yadav,2013,16.0,369.0,533.0,20.0,26.65,8.666666666666666,18.45
UT Yadav,2014,12.0,283.0,381.0,12.0,31.75,8.07773851590106,23.583333333333332
UT Yadav,2015,12.0,266.0,387.0,12.0,32.25,8.729323308270676,22.166666666666668
UT Yadav,2016,9.0,163.0,246.0,12.0,20.5,9.05521472392638,13.583333333333334
UT Yadav,2017,14.0,304.0,432.0,18.0,24.0,8.526315789473685,16.88888888888889
UT Yadav,2018,14.0,331.0,424.0,20.0,21.2,7.685800604229607,16.55
UT Yadav,2019,11.0,238.0,375.0,9.0,41.666666666666664,9.453781512605042,26.444444444444443
UT Yadav,2020,2.0,46.0,86.0,1.0,86.0,11.217391304347826,46.0
UT Yadav,2022,12.0,297.0,354.0,16.0,22.125,7.151515151515151,18.5625
UT Yadav,2023,8.0,116.0,190.0,1.0,190.0,9.827586206896552,116.0
UT Yadav,2024,7.0,129.0,211.0,9.0,23.444444444444443,9.813953488372093,14.333333333333334
Umar Gul,2008,6.0,153.0,198.0,14.0,14.142857142857142,7.764705882352941,10.928571428571429
Umran Malik,2021,3.0,75.0,96.0,2.0,48.0,7.68,37.5
Umran Malik,2022,14.0,313.0,455.0,23.0,19.782608695652176,8.722044728434506,13.608695652173912
Umran Malik,2023,8.0,124.0,219.0,6.0,36.5,10.596774193548386,20.666666666666668
Umran Malik,2024,1.0,7.0,15.0,0.0,0.0,12.857142857142856,0.0
V Kaverappa,2024,1.0,24.0,36.0,2.0,18.0,9.0,12.0
V Kohli,2008,4.0,49.0,62.0,2.0,31.0,7.591836734693878,24.5
