Player,Status,Type,Country,Teams,Base Price,Sold Price
William O'Rourke,UnSold,Bowler,NZ,,"2,000,000",
Rakshan Readdi,UnSold,Bowler,Ind,,"2,000,000",
Manish Reddy,UnSold,Bowler,Ind,,"2,000,000",
Monish Reddy,UnSold,Bowler,Ind,,"2,000,000",
Akhin Sathar,UnSold,Bowler,Ind,,"2,000,000",
Divesh Sharma,UnSold,Bowler,Ind,,"2,000,000",
Ashok Sharma,UnSold,Bowler,Ind,,"2,000,000",
Abhilash Shetty,UnSold,Bowler,Ind,,"2,000,000",
Rahul Shukla,UnSold,Bowler,Ind,,"2,000,000",
Manit Singh,UnSold,Bowler,Ind,,"2,000,000",
Gurjapneet Singh,UnSold,Bowler,Ind,,"2,000,000",
Paul Van Meekeren,UnSold,Bowler,Ned,,"2,000,000",
Nitin Verma,UnSold,Bowler,Ind,,"2,000,000",
Chris Wood,UnSold,Bowler,Ind,,"2,000,000",
Gourav Yadav,UnSold,Bowler,Ind,,"2,000,000",
Prithvi Raj Yarra,UnSold,Bowler,Ind,,"2,000,000",
Mujtaba Yousuf,UnSold,Bowler,Ind,,"2,000,000",
Shubham Agrawal,UnSold,Bowler,Ind,,"2,000,000",
Mustaq Beg,UnSold,Bowler,Ind,,"2,000,000",
K.C Cariappa,UnSold,Bowler,Ind,,"2,000,000",
Ganesh Chaudhary,UnSold,Bowler,Ind,,"2,000,000",
Yuvraj Chudasama,UnSold,Bowler,Ind,,"2,000,000",
Jasmer Dhankhar,UnSold,Bowler,Ind,,"2,000,000",
Chintal Gandhi,UnSold,Bowler,Ind,,"2,000,000",
Allah Ghazanfar,UnSold,Bowler,Afg,,"2,000,000",
Raghav Goyal,UnSold,Bowler,Ind,,"2,000,000",
Shreyas Gurav,UnSold,Bowler,Ind,,"2,000,000",
Vishu Kashyap,UnSold,Bowler,Ind,,"2,000,000",
Bhuwan Rohilla,UnSold,Bowler,Ind,,"2,000,000",
Shivam Sharma,UnSold,Bowler,Ind,,"2,000,000",
Digvesh Singh,UnSold,Bowler,Ind,,"2,000,000",
Jagadeesha Suchith,UnSold,Bowler,Ind,,"2,000,000",
B. Surya,UnSold,Bowler,Ind,,"2,000,000",
Pankaj Yadav,UnSold,Bowler,Ind,,"2,000,000",
Sahil Dhiwan,UnSold,All-Rounder,Ind,,"2,000,000",
Kaushal Tambe,UnSold,All-Rounder,Ind,,"2,000,000",
